Visitor,PTS,Home,PTS
LAC,91,BOS,82
ATL,117,CHI,131
LAL,99,MEM,104
OKC,97,PHO,115
UTA,120,PHO,105
DAL,94,SAC,95
PHI,110,BRK,102
MIL,136,ORL,118
CLE,93,WAS,110
PHO,108,BOS,123
CHI,108,IND,106
DAL,112,SAC,96
MIA,120,HOU,110
ATL,121,CLE,118
LAC,108,TOR,116
SAS,105,MEM,118
NYK,80,OKC,95
MIN,108,UTA,120
PHO,106,LAL,139
NOP,113,MIL,136
SAS,116,DET,117
CHI,120,WAS,119
LAC,120,BRK,116
DEN,124,HOU,111
GSW,123,UTA,116
NYK,105,TOR,120
ORL,111,BOS,116
IND,104,CLE,108
MIA,113,SAC,115
PHO,133,CHO,99
DAL,95,OKC,86
MIN,103,LAL,108
HOU,113,PHI,133
CHO,121,WAS,124
MEM,118,BRK,104
ORL,98,CHI,102
DET,115,MIL,106
UTA,115,NOP,104
DEN,89,DAL,103
MIA,108,GSW,115
ATL,131,PHO,136
MIN,122,LAC,104
MEM,110,CLE,106
SAS,104,TOR,129
IND,94,NYK,104
PHO,123,NOP,110
SAC,114,LAL,122
DET,111,CHO,140
PHI,116,ORL,106
HOU,114,WAS,111
SAS,99,BOS,97
GSW,82,DAL,99
BRK,129,IND,121
TOR,117,MIL,111
OKC,90,MIN,98
UTA,115,DEN,109
MIA,115,PHO,109
ATL,108,SAC,102
BOS,105,NYK,108
DET,88,MEM,118
GSW,96,NOP,101
LAC,89,PHO,106
SAS,100,PHI,119
MIL,121,BRK,109
UTA,108,TOR,122
WAS,122,CHI,130
DAL,130,HOU,106
MIN,135,OKC,105
SAC,111,DEN,121
ATL,118,LAL,134
CLE,114,PHO,101
MEM,123,LAC,108
MIL,106,CHO,114
ORL,92,DET,97
UTA,113,IND,125
NYK,75,BOS,99
MIA,123,PHO,100
SAS,119,BRK,121
ATL,93,LAC,106
WAS,102,ORL,100
NOP,101,TOR,105
MIN,141,HOU,123
DEN,99,OKC,95
CHI,99,DAL,113
CLE,82,GSW,96
SAC,88,PHO,103
MEM,127,LAL,119
MIL,99,CHO,103
UTA,116,DET,126
IND,98,BOS,101
SAS,96,NYK,111
PHI,111,HOU,91
BRK,108,PHO,114
CLE,109,SAC,108
OKC,118,WAS,122
PHO,99,TOR,95
DET,87,CHI,133
GSW,108,MEM,116
MIN,125,NOP,128
