


 
Player,Pos,Tm,TS%,USG%,OBPM,DBPM,BPM,Player-additional
Mitchell Robinson,C,NYK,.664,9.4,1.0,1.7,2.7,robinmi01
Terrence Ross,SG,ORL,.538,16.0,-2.7,-0.5,-3.2,rosste01
Terry Rozier,SG,CHO,.509,26.8,0.5,-2.3,-1.8,roziete01
D'Angelo Russell,PG,MIN,.591,22.4,1.6,-0.9,0.6,russeda01
Domantas Sabonis,C,SAC,.671,20.6,4.4,2.1,6.5,sabondo01
Dennis Schröder,PG,LAL,.565,17.7,-2.8,-1.2,-4.0,schrode01
Alperen Şengün,C,HOU,.615,22.1,1.4,0.1,1.6,sengual01
Shaedon Sharpe,SG,POR,.543,16.9,-2.7,-1.6,-4.4,sharpsh01
Pascal Siakam,C,TOR,.574,28.4,4.6,-0.2,4.4,siakapa01
Ben Simmons,PG,BRK,.571,14.2,-1.7,2.9,1.2,simmobe01
Anfernee Simons,SG,POR,.580,25.5,1.5,-1.7,-0.3,simonan01
Marcus Smart,PG,BOS,.542,16.8,-0.9,0.2,-0.7,smartma01
Jabari Smith Jr.,PF,HOU,.506,18.4,-2.8,-1.1,-3.9,smithja05
Jalen Smith,PF,IND,.554,21.2,-1.1,-0.7,-1.8,smithja04
Jeremy Sochan,PF,SAS,.499,17.1,-3.7,-1.0,-4.7,sochaje01
Isaiah Stewart,C,DET,.575,17.3,-0.8,-1.4,-2.2,stewais01
Max Strus,SF,MIA,.541,18.6,-1.0,-0.5,-1.6,strusma01
Jayson Tatum,PF,BOS,.613,33.0,5.6,0.2,5.8,tatumja01
Klay Thompson,SG,GSW,.554,26.8,1.0,-2.0,-1.0,thompkl01
Gary Trent Jr.,SG,TOR,.569,22.4,0.6,-0.3,0.3,trentga02
P.J. Tucker,PF,PHI,.539,6.4,-4.1,0.2,-3.9,tuckepj01
Myles Turner,C,IND,.664,20.6,1.6,1.2,2.8,turnemy01
Jonas Valančiūnas,C,NOP,.614,23.5,0.5,-0.6,-0.1,valanjo01
Jarred Vanderbilt,PF,UTA,.621,14.2,0.2,1.3,1.5,vandeja01
Fred VanVleet,PG,TOR,.525,22.1,1.4,0.2,1.6,vanvlfr01
Devin Vassell,SG,SAS,.562,25.0,2.2,-1.1,1.1,vassede01
Nikola Vučević,C,CHI,.611,21.0,2.5,0.3,2.8,vucevni01
Franz Wagner,SF,ORL,.593,24.9,1.0,-1.0,0.1,wagnefr01
Lonnie Walker IV,SG,LAL,.578,19.4,-0.9,-0.7,-1.6,walkelo01
P.J. Washington,PF,CHO,.547,19.9,-0.5,-0.7,-1.2,washipj01
Russell Westbrook,PG,LAL,.501,28.4,0.2,0.2,0.4,westbru01
Derrick White,SG,BOS,.597,15.7,0.3,1.2,1.4,whitede01
Andrew Wiggins,SF,GSW,.583,21.9,0.9,-0.2,0.8,wiggian01
Grant Williams,PF,BOS,.643,12.3,-0.8,0.7,-0.1,willigr01
Jalen Williams,SG,OKC,.575,17.3,-1.8,0.2,-1.6,willija06
Patrick Williams,PF,CHI,.576,15.1,-1.8,-0.3,-2.1,willipa01
Zion Williamson,PF,NOP,.652,29.9,5.0,0.9,5.9,willizi01
Christian Wood,C,DAL,.637,26.0,2.0,-0.3,1.6,woodch01
Trae Young,PG,ATL,.566,33.4,5.1,-2.0,3.1,youngtr01
Ivica Zubac,C,LAC,.652,14.5,-2.0,0.7,-1.4,zubaciv01


