Visitor,PTS,Home,PTS,,,,,,,,,Visitor,PTS,Home,PTS
Portland Trail Blazers,115,Washington Wizards,110,,,,,,,,,PHX,115,WAS,110
New York Knicks,117,Atlanta Hawks,108,,,,,,,,,NYK,117,ATL,108
New Orleans Pelicans,105,Brooklyn Nets,120,,,,,,,,,NOP,105,BKN,120
Philadelphia 76ers,109,Miami Heat,98,,,,,,,,,PHI,109,MIA,98
Cleveland Cavaliers,107,Oklahoma City Thunder,102,,,,,,,,,CLE,107,OKC,102
Chicago Bulls,112,Boston Celtics,114,,,,,,,,,CHI,112,BOS,114
Los Angeles Clippers,94,San Antonio Spurs,101,,,,,,,,,LAC,94,SAS,101
Los Angeles Lakers,96,Denver Nuggets,133,,,,,,,,,LAL,96,DEN,133
Orlando Magic,92,Dallas Mavericks,108,,,,,,,,,ORL,92,DAL,108
Phoenix Suns,135,Detroit Pistons,108,,,,,,,,,PHX,135,DET,108
Houston Rockets,118,Sacramento Kings,112,,,,,,,,,HOU,118,SAC,112
Utah Jazz,125,Denver Nuggets,102,,,,,,,,,UTA,125,DEN,102
Golden State Warriors,99,Minnesota Timberwolves,119,,,,,,,,,GSW,99,MIN,119
New Orleans Pelicans,92,Boston Celtics,104,,,,,,,,,NOP,92,BOS,104
Charlotte Hornets,97,New York Knicks,87,,,,,,,,,CHA,97,NYK,87
Philadelphia 76ers,98,Washington Wizards,117,,,,,,,,,PHI,98,WAS,117
Brooklyn Nets,107,Cleveland Cavaliers,114,,,,,,,,,BKN,107,CLE,114
Indiana Pacers,133,Los Angeles Clippers,139,,,,,,,,,IND,133,LAC,139
Chicago Bulls,106,Memphis Grizzlies,119,,,,,,,,,CHI,106,MEM,119
Milwaukee Bucks,114,Atlanta Hawks,121,,,,,,,,,MIL,114,ATL,121
Portland Trail Blazers,98,Orlando Magic,88,,,,,,,,,PHX,98,ORL,88
Toronto Raptors,99,Miami Heat,104,,,,,,,,,TOR,99,MIA,104
Oklahoma City Thunder,102,Dallas Mavericks,104,,,,,,,,,OKC,102,DAL,104
Phoenix Suns,121,San Antonio Spurs,107,,,,,,,,,PHX,121,SAS,107
Utah Jazz,95,Los Angeles Lakers,101,,,,,,,,,UTA,95,LAL,101
Minnesota Timberwolves,112,New York Knicks,110,,,,,,,,,MIN,112,NYK,110
Detroit Pistons,86,Golden State Warriors,102,,,,,,,,,DET,86,GSW,102
Orlando Magic,110,Philadelphia 76ers,123,,,,,,,,,ORL,110,PHI,123
Brooklyn Nets,119,Washington Wizards,118,,,,,,,,,BKN,119,WAS,118
Minnesota Timberwolves,122,Atlanta Hawks,134,,,,,,,,,MIN,122,ATL,134
Charlotte Hornets,111,Boston Celtics,102,,,,,,,,,CHA,111,BOS,102
Portland Trail Blazers,92,Miami Heat,104,,,,,,,,,PHX,92,MIA,104
Cleveland Cavaliers,104,Chicago Bulls,117,,,,,,,,,CLE,104,CHI,117
Memphis Grizzlies,114,Milwaukee Bucks,126,,,,,,,,,MEM,114,MIL,126
Toronto Raptors,98,Dallas Mavericks,102,,,,,,,,,TOR,98,DAL,102
Oklahoma City Thunder,96,San Antonio Spurs,118,,,,,,,,,OKC,96,SAS,118
Houston Rockets,116,Utah Jazz,111,,,,,,,,,HOU,116,UTA,111
Los Angeles Clippers,128,Denver Nuggets,130,,,,,,,,,LAC,128,DEN,130
Detroit Pistons,133,Sacramento Kings,131,,,,,,,,,DET,133,SAC,131
Indiana Pacers,111,Los Angeles Lakers,104,,,,,,,,,IND,111,LAL,104
Phoenix Suns,109,Dallas Mavericks,101,,,,,,,,,PHX,109,DAL,101
New Orleans Pelicans,102,New York Knicks,91,,,,,,,,,NOP,102,NYK,91
Indiana Pacers,121,Golden State Warriors,117,,,,,,,,,IND,121,GSW,117
Oklahoma City Thunder,98,Charlotte Hornets,121,,,,,,,,,OKC,98,CHA,121
Los Angeles Lakers,116,Orlando Magic,105,,,,,,,,,LAL,116,ORL,105
Los Angeles Clippers,102,Philadelphia 76ers,101,,,,,,,,,LAC,102,PHI,101
Miami Heat,108,Atlanta Hawks,110,,,,,,,,,MIA,108,ATL,110
Portland Trail Blazers,109,Boston Celtics,105,,,,,,,,,PHX,109,BOS,105
Chicago Bulls,90,Milwaukee Bucks,94,,,,,,,,,CHI,90,MIL,94
Toronto Raptors,109,Washington Wizards,105,,,,,,,,,TOR,109,WAS,105
Brooklyn Nets,117,San Antonio Spurs,102,,,,,,,,,BKN,117,SAS,102
Memphis Grizzlies,122,Denver Nuggets,118,,,,,,,,,MEM,122,DEN,118
Detroit Pistons,101,Utah Jazz,111,,,,,,,,,DET,101,UTA,111
Houston Rockets,103,Golden State Warriors,105,,,,,,,,,HOU,103,GSW,105
Sacramento Kings,127,Milwaukee Bucks,133,,,,,,,,,SAC,127,MIL,133
Oklahoma City Thunder,87,Cleveland Cavaliers,94,,,,,,,,,OKC,87,CLE,94
Indiana Pacers,103,Phoenix Suns,113,,,,,,,,,IND,103,PHX,113
Los Angeles Clippers,102,New York Knicks,110,,,,,,,,,LAC,102,NYK,110
Boston Celtics,116,Washington Wizards,87,,,,,,,,,BOS,116,WAS,87
Los Angeles Lakers,107,Miami Heat,113,,,,,,,,,LAL,107,MIA,113
Chicago Bulls,95,Orlando Magic,114,,,,,,,,,CHI,95,ORL,114
Portland Trail Blazers,114,Toronto Raptors,105,,,,,,,,,PHX,114,TOR,105
Atlanta Hawks,113,Charlotte Hornets,91,,,,,,,,,ATL,113,CHA,91
Philadelphia 76ers,115,San Antonio Spurs,109,,,,,,,,,PHI,115,SAS,109
Memphis Grizzlies,91,Dallas Mavericks,104,,,,,,,,,MEM,91,DAL,104
Detroit Pistons,111,Denver Nuggets,117,,,,,,,,,DET,111,DEN,117
Brooklyn Nets,125,Minnesota Timberwolves,136,,,,,,,,,BKN,125,MIN,136
Utah Jazz,92,Golden State Warriors,94,,,,,,,,,UTA,92,GSW,94
New York Knicks,93,Cleveland Cavaliers,95,,,,,,,,,NYK,93,CLE,95
Indiana Pacers,113,New Orleans Pelicans,117,,,,,,,,,IND,113,NOP,117
Chicago Bulls,111,Oklahoma City Thunder,110,,,,,,,,,CHI,111,OKC,110
Utah Jazz,109,Phoenix Suns,115,,,,,,,,,UTA,109,PHX,115
Denver Nuggets,110,Detroit Pistons,105,,,,,,,,,DEN,110,DET,105
New Orleans Pelicans,107,Philadelphia 76ers,117,,,,,,,,,NOP,107,PHI,117
Charlotte Hornets,113,Toronto Raptors,125,,,,,,,,,CHA,113,TOR,125
Los Angeles Clippers,116,Washington Wizards,115,,,,,,,,,LAC,116,WAS,115
Sacramento Kings,75,Boston Celtics,128,,,,,,,,,SAC,75,BOS,128
Los Angeles Lakers,106,Brooklyn Nets,96,,,,,,,,,LAL,106,BKN,96
San Antonio Spurs,134,Houston Rockets,104,,,,,,,,,SAS,134,HOU,104
Dallas Mavericks,92,Golden State Warriors,130,,,,,,,,,DAL,92,GSW,130
Minnesota Timberwolves,109,Portland Trail Blazers,107,,,,,,,,,MIN,109,PHX,107
Milwaukee Bucks,99,Cleveland Cavaliers,115,,,,,,,,,MIL,99,CLE,115
Charlotte Hornets,158,Indiana Pacers,126,,,,,,,,,CHA,158,IND,126
Los Angeles Clippers,111,Orlando Magic,102,,,,,,,,,LAC,111,ORL,102
Sacramento Kings,104,Atlanta Hawks,121,,,,,,,,,SAC,104,ATL,121
New York Knicks,96,Miami Heat,110,,,,,,,,,NYK,96,MIA,110
Denver Nuggets,124,Brooklyn Nets,118,,,,,,,,,DEN,124,BKN,118
Toronto Raptors,105,Chicago Bulls,111,,,,,,,,,TOR,105,CHI,111
Memphis Grizzlies,118,San Antonio Spurs,110,,,,,,,,,MEM,118,SAS,110
Dallas Mavericks,132,Portland Trail Blazers,112,,,,,,,,,DAL,132,PHX,112
Phoenix Suns,105,Utah Jazz,97,,,,,,,,,PHX,105,UTA,97
Los Angeles Lakers,87,Philadelphia 76ers,105,,,,,,,,,LAL,87,PHI,105
Minnesota Timberwolves,115,Golden State Warriors,124,,,,,,,,,MIN,115,GSW,124
Detroit Pistons,103,Orlando Magic,119,,,,,,,,,DET,103,ORL,119
Boston Celtics,92,Atlanta Hawks,108,,,,,,,,,BOS,92,ATL,108
Los Angeles Lakers,114,Charlotte Hornets,117,,,,,,,,,LAL,114,CHA,117
Portland Trail Blazers,125,Houston Rockets,110,,,,,,,,,PHX,125,HOU,110
Utah Jazz,109,Memphis Grizzlies,119,,,,,,,,,UTA,109,MEM,119
Los Angeles Clippers,114,Miami Heat,121,,,,,,,,,LAC,114,MIA,121
Denver Nuggets,116,New Orleans Pelicans,105,,,,,,,,,DEN,116,NOP,105
Indiana Pacers,113,Oklahoma City Thunder,110,,,,,,,,,IND,113,OKC,110
Chicago Bulls,122,San Antonio Spurs,131,,,,,,,,,CHI,122,SAS,131
Minnesota Timberwolves,124,Phoenix Suns,134,,,,,,,,,MIN,124,PHX,134
New York Knicks,108,Milwaukee Bucks,123,,,,,,,,,NYK,108,MIL,123
Indiana Pacers,105,Dallas Mavericks,132,,,,,,,,,IND,105,DAL,132
Boston Celtics,107,New Orleans Pelicans,97,,,,,,,,,BOS,107,NOP,97
Sacramento Kings,101,Philadelphia 76ers,103,,,,,,,,,SAC,101,PHI,103
Washington Wizards,95,Memphis Grizzlies,115,,,,,,,,,WAS,95,MEM,115
Toronto Raptors,124,Miami Heat,120,,,,,,,,,TOR,124,MIA,120
Brooklyn Nets,106,Golden State Warriors,110,,,,,,,,,BKN,106,GSW,110
Los Angeles Lakers,121,Atlanta Hawks,129,,,,,,,,,LAL,121,ATL,129
Los Angeles Clippers,115,Charlotte Hornets,90,,,,,,,,,LAC,115,CHA,90
Portland Trail Blazers,116,Chicago Bulls,130,,,,,,,,,PHX,116,CHI,130
Cleveland Cavaliers,105,Detroit Pistons,115,,,,,,,,,CLE,105,DET,115
Denver Nuggets,136,Milwaukee Bucks,100,,,,,,,,,DEN,136,MIL,100
Dallas Mavericks,108,Orlando Magic,110,,,,,,,,,DAL,108,ORL,110
Utah Jazz,106,Minnesota Timberwolves,126,,,,,,,,,UTA,106,MIN,126
San Antonio Spurs,110,Phoenix Suns,115,,,,,,,,,SAS,110,PHX,115
New Orleans Pelicans,90,Cleveland Cavaliers,93,,,,,,,,,NOP,90,CLE,93
Los Angeles Clippers,116,Indiana Pacers,122,,,,,,,,,LAC,116,IND,122
Memphis Grizzlies,119,Philadelphia 76ers,122,,,,,,,,,MEM,119,PHI,122
Toronto Raptors,106,Atlanta Hawks,100,,,,,,,,,TOR,106,ATL,100
Miami Heat,92,Boston Celtics,122,,,,,,,,,MIA,92,BOS,122
Sacramento Kings,96,New York Knicks,116,,,,,,,,,SAC,96,NYK,116
Golden State Warriors,122,Houston Rockets,108,,,,,,,,,GSW,122,HOU,108
Portland Trail Blazers,81,Oklahoma City Thunder,98,,,,,,,,,PHX,81,OKC,98
Visitor/Neutral,PTS,Home/Neutral,PTS,,,,,,,,,UTA,PTS,GSW,PTS
New Orleans Pelicans,111,Detroit Pistons,101,,,,,,,,,NOP,111,DET,101
Washington Wizards,98,Milwaukee Bucks,112,,,,,,,,,WAS,98,MIL,112
Miami Heat,106,Toronto Raptors,110,,,,,,,,,MIA,106,TOR,110
Orlando Magic,115,Chicago Bulls,126,,,,,,,,,ORL,115,CHI,126
Denver Nuggets,115,Minnesota Timberwolves,130,,,,,,,,,DEN,115,MIN,130
Golden State Warriors,124,San Antonio Spurs,120,,,,,,,,,GSW,124,SAS,120
Brooklyn Nets,111,Phoenix Suns,121,,,,,,,,,BKN,111,PHX,121
Orlando Magic,119,Indiana Pacers,118,,,,,,,,,ORL,119,IND,118
Washington Wizards,106,Philadelphia 76ers,103,,,,,,,,,WAS,106,PHI,103
Charlotte Hornets,107,Boston Celtics,113,,,,,,,,,CHA,107,BOS,113
Memphis Grizzlies,120,New York Knicks,108,,,,,,,,,MEM,120,NYK,108
Cleveland Cavaliers,104,Houston Rockets,115,,,,,,,,,CLE,104,HOU,115
Oklahoma City Thunder,120,Dallas Mavericks,114,,,,,,,,,OKC,120,DAL,114
Brooklyn Nets,101,Sacramento Kings,112,,,,,,,,,BKN,101,SAC,112
Denver Nuggets,104,Utah Jazz,108,,,,,,,,,DEN,104,UTA,108
Portland Trail Blazers,94,Los Angeles Lakers,99,,,,,,,,,PHX,94,LAL,99
Minnesota Timberwolves,128,Detroit Pistons,117,,,,,,,,,MIN,128,DET,117
Miami Heat,112,San Antonio Spurs,95,,,,,,,,,MIA,112,SAS,95
Phoenix Suns,115,Atlanta Hawks,124,,,,,,,,,PHX,115,ATL,124
Chicago Bulls,120,Toronto Raptors,127,,,,,,,,,CHI,120,TOR,127
Sacramento Kings,114,Golden State Warriors,126,,,,,,,,,SAC,114,GSW,126
Los Angeles Lakers,110,Los Angeles Clippers,111,,,,,,,,,LAL,110,LAC,111
Cleveland Cavaliers,102,Charlotte Hornets,101,,,,,,,,,CLE,102,CHA,101
Boston Celtics,102,Detroit Pistons,93,,,,,,,,,BOS,102,DET,93
Chicago Bulls,122,Indiana Pacers,115,,,,,,,,,CHI,122,IND,115
Atlanta Hawks,114,Toronto Raptors,125,,,,,,,,,ATL,114,TOR,125
Houston Rockets,106,San Antonio Spurs,131,,,,,,,,,HOU,106,SAS,131
New Orleans Pelicans,113,Denver Nuggets,105,,,,,,,,,NOP,113,DEN,105
Brooklyn Nets,102,Utah Jazz,125,,,,,,,,,BKN,102,UTA,125
Philadelphia 76ers,98,Dallas Mavericks,107,,,,,,,,,PHI,98,DAL,107
Oklahoma City Thunder,96,Portland Trail Blazers,93,,,,,,,,,OKC,96,PHX,93
Memphis Grizzlies,135,Orlando Magic,115,,,,,,,,,MEM,135,ORL,115
Miami Heat,104,Charlotte Hornets,86,,,,,,,,,MIA,104,CHA,86
Phoenix Suns,95,Washington Wizards,80,,,,,,,,,PHX,95,WAS,80
New York Knicks,115,Los Angeles Lakers,122,,,,,,,,,NYK,115,LAL,122
Milwaukee Bucks,137,Portland Trail Blazers,108,,,,,,,,,MIL,137,PHX,108
Oklahoma City Thunder,103,Sacramento Kings,113,,,,,,,,,OKC,103,SAC,113
Philadelphia 76ers,119,Chicago Bulls,108,,,,,,,,,PHI,119,CHI,108
Brooklyn Nets,104,Denver Nuggets,124,,,,,,,,,BKN,104,DEN,124
Detroit Pistons,105,Minnesota Timberwolves,118,,,,,,,,,DET,105,MIN,118
Indiana Pacers,85,Cleveland Cavaliers,98,,,,,,,,,IND,85,CLE,98
Atlanta Hawks,94,Dallas Mavericks,103,,,,,,,,,ATL,94,DAL,103
Boston Celtics,116,Orlando Magic,83,,,,,,,,,BOS,116,ORL,83
New Orleans Pelicans,120,Houston Rockets,107,,,,,,,,,NOP,120,HOU,107
Milwaukee Bucks,137,Los Angeles Clippers,113,,,,,,,,,MIL,137,LAC,113
Toronto Raptors,116,Charlotte Hornets,101,,,,,,,,,TOR,116,CHA,101
Miami Heat,121,Washington Wizards,100,,,,,,,,,MIA,121,WAS,100
Phoenix Suns,127,Chicago Bulls,124,,,,,,,,,PHX,127,CHI,124
Golden State Warriors,110,Oklahoma City Thunder,98,,,,,,,,,GSW,110,OKC,98
New York Knicks,104,Utah Jazz,113,,,,,,,,,NYK,104,UTA,113
Phoenix Suns,114,Philadelphia 76ers,109,,,,,,,,,PHX,114,PHI,109
Indiana Pacers,112,Atlanta Hawks,133,,,,,,,,,IND,112,ATL,133
Boston Celtics,126,Brooklyn Nets,91,,,,,,,,,BOS,126,BKN,91
Los Angeles Clippers,109,Memphis Grizzlies,135,,,,,,,,,LAC,109,MEM,135
Houston Rockets,97,New Orleans Pelicans,110,,,,,,,,,HOU,97,NOP,110
Detroit Pistons,86,Dallas Mavericks,116,,,,,,,,,DET,86,DAL,116
New York Knicks,115,Denver Nuggets,132,,,,,,,,,NYK,115,DEN,132
Milwaukee Bucks,131,Los Angeles Lakers,116,,,,,,,,,MIL,131,LAL,116
Orlando Magic,113,Portland Trail Blazers,95,,,,,,,,,ORL,113,PHX,95
Minnesota Timberwolves,134,Sacramento Kings,114,,,,,,,,,MIN,134,SAC,114
San Antonio Spurs,92,Cleveland Cavaliers,105,,,,,,,,,SAS,92,CLE,105
Chicago Bulls,121,Charlotte Hornets,109,,,,,,,,,CHI,121,CHA,109
Toronto Raptors,117,Oklahoma City Thunder,98,,,,,,,,,TOR,117,OKC,98
Los Angeles Lakers,105,Portland Trail Blazers,107,,,,,,,,,LAL,105,PHX,107
Minnesota Timberwolves,119,Sacramento Kings,132,,,,,,,,,MIN,119,SAC,132
Golden State Warriors,85,Utah Jazz,111,,,,,,,,,GSW,85,UTA,111
Memphis Grizzlies,132,Detroit Pistons,107,,,,,,,,,MEM,132,DET,107
Miami Heat,112,New Orleans Pelicans,97,,,,,,,,,MIA,112,NOP,97
Brooklyn Nets,112,Washington Wizards,113,,,,,,,,,BKN,112,WAS,113
Toronto Raptors,139,Houston Rockets,120,,,,,,,,,TOR,139,HOU,120
Los Angeles Clippers,105,Dallas Mavericks,112,,,,,,,,,LAC,105,DAL,112
New York Knicks,116,Golden State Warriors,114,,,,,,,,,NYK,116,GSW,114
Milwaukee Bucks,107,Phoenix Suns,131,,,,,,,,,MIL,107,PHX,131
Charlotte Hornets,141,Detroit Pistons,119,,,,,,,,,CHA,141,DET,119
Cleveland Cavaliers,120,Indiana Pacers,113,,,,,,,,,CLE,120,IND,113
Oklahoma City Thunder,87,Philadelphia 76ers,100,,,,,,,,,OKC,87,PHI,100
San Antonio Spurs,136,Atlanta Hawks,121,,,,,,,,,SAS,136,ATL,121
Denver Nuggets,102,Boston Celtics,108,,,,,,,,,DEN,102,BOS,108
Minnesota Timberwolves,122,Chicago Bulls,134,,,,,,,,,MIN,122,CHI,134
Orlando Magic,99,Utah Jazz,114,,,,,,,,,ORL,99,UTA,114
New York Knicks,103,Portland Trail Blazers,112,,,,,,,,,NYK,103,PHX,112
Memphis Grizzlies,125,Charlotte Hornets,118,,,,,,,,,MEM,125,CHA,118
San Antonio Spurs,124,New Orleans Pelicans,114,,,,,,,,,SAS,124,NOP,114
Sacramento Kings,123,Washington Wizards,110,,,,,,,,,SAC,123,WAS,110
Cleveland Cavaliers,93,Philadelphia 76ers,103,,,,,,,,,CLE,93,PHI,103
Denver Nuggets,110,Toronto Raptors,109,,,,,,,,,DEN,110,TOR,109
Oklahoma City Thunder,101,Chicago Bulls,106,,,,,,,,,OKC,101,CHI,106
Brooklyn Nets,111,Miami Heat,115,,,,,,,,,BKN,111,MIA,115
Los Angeles Clippers,99,Dallas Mavericks,97,,,,,,,,,LAC,99,DAL,97
Los Angeles Lakers,115,Golden State Warriors,117,,,,,,,,,LAL,115,GSW,117
Orlando Magic,105,Phoenix Suns,132,,,,,,,,,ORL,105,PHX,132
Atlanta Hawks,95,Boston Celtics,105,,,,,,,,,ATL,95,BOS,105
Minnesota Timberwolves,129,Indiana Pacers,120,,,,,,,,,MIN,129,IND,120
Detroit Pistons,94,Washington Wizards,103,,,,,,,,,DET,94,WAS,103
Sacramento Kings,85,Brooklyn Nets,109,,,,,,,,,SAC,85,BKN,109
Oklahoma City Thunder,127,New York Knicks,123,,,,,,,,,OKC,127,NYK,123
San Antonio Spurs,109,Chicago Bulls,120,,,,,,,,,SAS,109,CHI,120
Portland Trail Blazers,122,Milwaukee Bucks,107,,,,,,,,,PHX,122,MIL,107
Toronto Raptors,90,New Orleans Pelicans,120,,,,,,,,,TOR,90,NOP,120
Orlando Magic,111,Denver Nuggets,121,,,,,,,,,ORL,111,DEN,121
Houston Rockets,101,Utah Jazz,135,,,,,,,,,HOU,101,UTA,135
Golden State Warriors,104,Los Angeles Clippers,119,,,,,,,,,GSW,104,LAC,119
Cleveland Cavaliers,116,Atlanta Hawks,124,,,,,,,,,CLE,116,ATL,124
Dallas Mavericks,107,Miami Heat,99,,,,,,,,,DAL,107,MIA,99
Boston Celtics,135,Philadelphia 76ers,87,,,,,,,,,BOS,135,PHI,87
Indiana Pacers,119,Milwaukee Bucks,128,,,,,,,,,IND,119,MIL,128
Charlotte Hornets,120,Minnesota Timberwolves,126,,,,,,,,,CHA,120,MIN,126
Memphis Grizzlies,121,New Orleans Pelicans,109,,,,,,,,,MEM,121,NOP,109
Los Angeles Clippers,96,Phoenix Suns,103,,,,,,,,,LAC,96,PHX,103
Atlanta Hawks,130,Orlando Magic,109,,,,,,,,,ATL,130,ORL,109
Detroit Pistons,112,Boston Celtics,111,,,,,,,,,DET,112,BOS,111
Washington Wizards,108,Indiana Pacers,113,,,,,,,,,WAS,108,IND,113
Brooklyn Nets,111,New York Knicks,106,,,,,,,,,BKN,111,NYK,106
Sacramento Kings,118,Chicago Bulls,125,,,,,,,,,SAC,118,CHI,125
Portland Trail Blazers,123,Memphis Grizzlies,119,,,,,,,,,PHX,123,MEM,119
Toronto Raptors,103,Minnesota Timberwolves,91,,,,,,,,,TOR,103,MIN,91
San Antonio Spurs,114,Oklahoma City Thunder,106,,,,,,,,,SAS,114,OKC,106
Houston Rockets,121,Phoenix Suns,124,,,,,,,,,HOU,121,PHX,124
Denver Nuggets,117,Golden State Warriors,116,,,,,,,,,DEN,117,GSW,116
Utah Jazz,101,Los Angeles Lakers,106,,,,,,,,,UTA,101,LAL,106
Miami Heat,111,Charlotte Hornets,107,,,,,,,,,MIA,111,CHA,107
Washington Wizards,117,Brooklyn Nets,103,,,,,,,,,WAS,117,BKN,103
Dallas Mavericks,125,New Orleans Pelicans,118,,,,,,,,,DAL,125,NOP,118
Philadelphia 76ers,123,Milwaukee Bucks,120,,,,,,,,,PHI,123,MIL,120
Houston Rockets,111,Los Angeles Clippers,142,,,,,,,,,HOU,111,LAC,142
Cleveland Cavaliers,103,Detroit Pistons,106,,,,,,,,,CLE,103,DET,106
Boston Celtics,129,Brooklyn Nets,106,,,,,,,,,BOS,129,BKN,106
Atlanta Hawks,108,Chicago Bulls,112,,,,,,,,,ATL,108,CHI,112
Memphis Grizzlies,114,Minnesota Timberwolves,119,,,,,,,,,MEM,114,MIN,119
Phoenix Suns,124,Oklahoma City Thunder,104,,,,,,,,,PHX,124,OKC,104
Golden State Warriors,132,Portland Trail Blazers,95,,,,,,,,,GSW,132,PHX,95
Denver Nuggets,128,Sacramento Kings,110,,,,,,,,,DEN,128,SAC,110
Toronto Raptors,93,Charlotte Hornets,125,,,,,,,,,TOR,93,CHA,125
Oklahoma City Thunder,129,Indiana Pacers,125,,,,,,,,,OKC,129,IND,125
Houston Rockets,111,Orlando Magic,119,,,,,,,,,HOU,111,ORL,119
San Antonio Spurs,157,Washington Wizards,153,,,,,,,,,SAS,157,WAS,153
Miami Heat,115,New York Knicks,100,,,,,,,,,MIA,115,NYK,100
Philadelphia 76ers,133,Minnesota Timberwolves,102,,,,,,,,,PHI,133,MIN,102
New Orleans Pelicans,117,Phoenix Suns,102,,,,,,,,,NOP,117,PHX,102
Dallas Mavericks,109,Utah Jazz,114,,,,,,,,,DAL,109,UTA,114
Los Angeles Clippers,105,Los Angeles Lakers,102,,,,,,,,,LAC,105,LAL,102
Boston Celtics,113,Detroit Pistons,104,,,,,,,,,BOS,113,DET,104
Toronto Raptors,100,Atlanta Hawks,127,,,,,,,,,TOR,100,ATL,127
Memphis Grizzlies,116,Chicago Bulls,110,,,,,,,,,MEM,116,CHI,110
Washington Wizards,86,Cleveland Cavaliers,92,,,,,,,,,WAS,86,CLE,92
San Antonio Spurs,129,Miami Heat,133,,,,,,,,,SAS,129,MIA,133
Brooklyn Nets,126,Milwaukee Bucks,123,,,,,,,,,BKN,126,MIL,123
Sacramento Kings,110,Denver Nuggets,115,,,,,,,,,SAC,110,DEN,115
Philadelphia 76ers,125,New York Knicks,109,,,,,,,,,PHI,125,NYK,109
Utah Jazz,118,Phoenix Suns,114,,,,,,,,,UTA,118,PHX,114
Boston Celtics,107,Indiana Pacers,128,,,,,,,,,BOS,107,IND,128
Detroit Pistons,127,Charlotte Hornets,126,,,,,,,,,DET,127,CHA,126
Los Angeles Clippers,99,Houston Rockets,98,,,,,,,,,LAC,99,HOU,98
Dallas Mavericks,107,Golden State Warriors,101,,,,,,,,,DAL,107,GSW,101
Denver Nuggets,124,Portland Trail Blazers,92,,,,,,,,,DEN,124,PHX,92
New Orleans Pelicans,123,Los Angeles Lakers,95,,,,,,,,,NOP,123,LAL,95
Minnesota Timberwolves,127,Cleveland Cavaliers,122,,,,,,,,,MIN,127,CLE,122
Indiana Pacers,103,Orlando Magic,119,,,,,,,,,IND,103,ORL,119
Toronto Raptors,133,Brooklyn Nets,97,,,,,,,,,TOR,133,BKN,97
Chicago Bulls,99,Miami Heat,112,,,,,,,,,CHI,99,MIA,112
San Antonio Spurs,105,Memphis Grizzlies,118,,,,,,,,,SAS,105,MEM,118
Charlotte Hornets,106,Milwaukee Bucks,130,,,,,,,,,CHA,106,MIL,130
Sacramento Kings,131,Oklahoma City Thunder,110,,,,,,,,,SAC,131,OKC,110
Detroit Pistons,113,Washington Wizards,116,,,,,,,,,DET,113,WAS,116
Atlanta Hawks,98,Boston Celtics,107,,,,,,,,,ATL,98,BOS,107
Brooklyn Nets,108,Toronto Raptors,109,,,,,,,,,BKN,108,TOR,109
Los Angeles Clippers,113,Houston Rockets,100,,,,,,,,,LAC,113,HOU,100
Golden State Warriors,114,Minnesota Timberwolves,129,,,,,,,,,GSW,114,MIN,129
Dallas Mavericks,109,Los Angeles Lakers,104,,,,,,,,,DAL,109,LAL,104
Charlotte Hornets,119,Cleveland Cavaliers,98,,,,,,,,,CHA,119,CLE,98
Indiana Pacers,122,Orlando Magic,114,,,,,,,,,IND,122,ORL,114
New York Knicks,108,Philadelphia 76ers,123,,,,,,,,,NYK,108,PHI,123
Utah Jazz,132,Houston Rockets,127,,,,,,,,,UTA,132,HOU,127
Miami Heat,119,Milwaukee Bucks,120,,,,,,,,,MIA,119,MIL,120
Sacramento Kings,95,New Orleans Pelicans,125,,,,,,,,,SAC,95,NOP,125
Oklahoma City Thunder,119,Denver Nuggets,107,,,,,,,,,OKC,119,DEN,107
Portland Trail Blazers,90,Phoenix Suns,120,,,,,,,,,PHX,90,PHX,120
Chicago Bulls,124,Atlanta Hawks,130,,,,,,,,,CHI,124,ATL,130
Memphis Grizzlies,107,Boston Celtics,120,,,,,,,,,MEM,107,BOS,120
Miami Heat,113,Brooklyn Nets,107,,,,,,,,,MIA,113,BKN,107
Detroit Pistons,108,Toronto Raptors,106,,,,,,,,,DET,108,TOR,106
Golden State Warriors,113,Dallas Mavericks,122,,,,,,,,,GSW,113,DAL,122
Sacramento Kings,115,San Antonio Spurs,112,,,,,,,,,SAC,115,SAS,112
Los Angeles Lakers,111,Los Angeles Clippers,132,,,,,,,,,LAL,111,LAC,132
Indiana Pacers,106,Detroit Pistons,111,,,,,,,,,IND,106,DET,111
Cleveland Cavaliers,119,Philadelphia 76ers,125,,,,,,,,,CLE,119,PHI,125
Atlanta Hawks,117,Washington Wizards,114,,,,,,,,,ATL,117,WAS,114
Milwaukee Bucks,118,Chicago Bulls,112,,,,,,,,,MIL,118,CHI,112
Orlando Magic,103,Toronto Raptors,97,,,,,,,,,ORL,103,TOR,97
Utah Jazz,90,New Orleans Pelicans,124,,,,,,,,,UTA,90,NOP,124
Minnesota Timberwolves,138,Oklahoma City Thunder,101,,,,,,,,,MIN,138,OKC,101
Houston Rockets,101,Denver Nuggets,116,,,,,,,,,HOU,101,DEN,116
New York Knicks,114,Phoenix Suns,115,,,,,,,,,NYK,114,PHX,115
Sacramento Kings,113,Dallas Mavericks,114,,,,,,,,,SAC,113,DAL,114
San Antonio Spurs,117,Charlotte Hornets,123,,,,,,,,,SAS,117,CHA,123
Orlando Magic,96,Memphis Grizzlies,124,,,,,,,,,ORL,96,MEM,124
