Visitor,PTS,Home,PTS,,,,,,,,,Visitor,PTS,Home,PTS
Miami Heat,125,Dallas Mavericks,110,,,,,,,,,MIA,125,DAL,110
Sacramento Kings,113,Utah Jazz,119,,,,,,,,,SAC,113,UTA,119
New Orleans Pelicans,100,Phoenix Suns,112,,,,,,,,,NOP,100,PHX,112
Houston Rockets,117,Los Angeles Lakers,119,,,,,,,,,HOU,117,LAL,119
Portland Trail Blazers,104,Cleveland Cavaliers,107,,,,,,,,,PHX,104,CLE,107
New York Knicks,98,Indiana Pacers,111,,,,,,,,,NYK,98,IND,111
Boston Celtics,92,Orlando Magic,79,,,,,,,,,BOS,92,ORL,79
Chicago Bulls,98,Philadelphia 76ers,103,,,,,,,,,CHI,98,PHI,103
Toronto Raptors,109,Washington Wizards,100,,,,,,,,,TOR,109,WAS,100
Atlanta Hawks,108,Brooklyn Nets,117,,,,,,,,,ATL,108,BKN,117
Denver Nuggets,106,Memphis Grizzlies,108,,,,,,,,,DEN,106,MEM,108
Los Angeles Clippers,126,Minnesota Timberwolves,115,,,,,,,,,LAC,126,MIN,115
Dallas Mavericks,109,San Antonio Spurs,108,,,,,,,,,DAL,109,SAS,108
Charlotte Hornets,92,Golden State Warriors,114,,,,,,,,,CHA,92,GSW,114
New Orleans Pelicans,99,Sacramento Kings,112,,,,,,,,,NOP,99,SAC,112
Philadelphia 76ers,109,Detroit Pistons,98,,,,,,,,,PHI,109,DET,98
Utah Jazz,116,Atlanta Hawks,98,,,,,,,,,UTA,116,ATL,98
Boston Celtics,95,Miami Heat,78,,,,,,,,,BOS,95,MIA,78
Houston Rockets,111,Phoenix Suns,123,,,,,,,,,HOU,111,PHX,123
Oklahoma City Thunder,107,Los Angeles Lakers,104,,,,,,,,,OKC,107,LAL,104
Brooklyn Nets,96,Detroit Pistons,90,,,,,,,,,BKN,96,DET,90
San Antonio Spurs,102,Orlando Magic,89,,,,,,,,,SAS,102,ORL,89
Memphis Grizzlies,87,Washington Wizards,115,,,,,,,,,MEM,87,WAS,115
New York Knicks,113,Milwaukee Bucks,98,,,,,,,,,NYK,113,MIL,98
Cleveland Cavaliers,102,Toronto Raptors,101,,,,,,,,,CLE,102,TOR,101
Los Angeles Clippers,104,Minnesota Timberwolves,84,,,,,,,,,LAC,104,MIN,84
New Orleans Pelicans,85,Golden State Warriors,126,,,,,,,,,NOP,85,GSW,126
Indiana Pacers,106,Portland Trail Blazers,110,,,,,,,,,IND,106,PHX,110
Charlotte Hornets,110,Sacramento Kings,140,,,,,,,,,CHA,110,SAC,140
Houston Rockets,94,Denver Nuggets,95,,,,,,,,,HOU,94,DEN,95
